stats_status,team_name,total_matches,wins,losses,draws,total_raids,success_raids,all_outs,unsuccess_raids,empty_raid,success_raid_percent,super_raids,total_tackles,success_tackles,unsuccesful_tackles,tackle_success_rate,super_tackles,green_cards,yellow_cards,red_cards
 Season 5,Haryana Steelers,23.0,13.0,6.0,4.0,1030.0,327.0,27.0,206.0,497.0,39.0,12.0,544.0,206.0,338.0,42.0,21.0,14.0,0.0,0.0
 Season 6,Haryana Steelers,22.0,6.0,14.0,2.0,941.0,361.0,16.0,230.0,350.0,48.0,12.0,562.0,180.0,382.0,34.0,15.0,24.0,0.0,0.0
 Season 7,Haryana Steelers,17.0,11.0,5.0,1.0,705.0,259.0,25.0,151.0,295.0,48.0,12.0,430.0,165.0,265.0,41.0,11.0,2.0,0.0,0.0
,Haryana Steelers,62.0,30.0,25.0,7.0,2676.0,947.0,68.0,587.0,1142.0,44.0,36.0,1536.0,551.0,985.0,39.0,47.0,40.0,0.0,0.0
 Season 5,Tamil Thalaivas,22.0,6.0,14.0,2.0,1022.0,351.0,19.0,207.0,464.0,40.0,5.0,517.0,184.0,333.0,39.0,17.0,11.0,0.0,0.0
 Season 6,Tamil Thalaivas,22.0,5.0,13.0,4.0,925.0,344.0,20.0,222.0,359.0,45.0,7.0,498.0,174.0,324.0,38.0,15.0,20.0,2.0,0.0
 Season 7,Tamil Thalaivas,18.0,3.0,12.0,3.0,750.0,248.0,13.0,194.0,308.0,42.0,4.0,400.0,144.0,256.0,39.0,13.0,8.0,0.0,0.0
,Tamil Thalaivas,62.0,14.0,39.0,9.0,2697.0,943.0,52.0,623.0,1131.0,42.0,16.0,1415.0,502.0,913.0,39.0,45.0,39.0,2.0,0.0
 Season 5,U.P. Yoddha,23.0,8.0,11.0,4.0,1002.0,358.0,23.0,221.0,423.0,46.0,23.0,551.0,183.0,368.0,36.0,19.0,16.0,1.0,0.0
 Season 6,U.P. Yoddha,25.0,10.0,11.0,4.0,1068.0,357.0,26.0,255.0,456.0,42.0,10.0,594.0,240.0,354.0,45.0,27.0,12.0,1.0,0.0
 Season 7,U.P. Yoddha,17.0,9.0,6.0,2.0,711.0,208.0,20.0,172.0,331.0,38.0,4.0,389.0,167.0,222.0,46.0,14.0,3.0,0.0,0.0
,U.P. Yoddha,65.0,27.0,28.0,10.0,2781.0,923.0,69.0,648.0,1210.0,42.0,37.0,1534.0,590.0,944.0,42.0,60.0,31.0,2.0,0.0
 Season 5,Gujarat Fortunegiants,24.0,16.0,5.0,3.0,1055.0,335.0,36.0,211.0,509.0,38.0,11.0,497.0,242.0,255.0,51.0,12.0,18.0,2.0,0.0
 Season 6,Gujarat Fortunegiants,25.0,18.0,5.0,2.0,1072.0,392.0,36.0,246.0,434.0,45.0,10.0,586.0,258.0,328.0,47.0,18.0,16.0,0.0,0.0
 Season 7,Gujarat Fortunegiants,18.0,5.0,11.0,2.0,731.0,226.0,17.0,200.0,305.0,38.0,4.0,362.0,160.0,202.0,48.0,15.0,1.0,0.0,0.0
,Gujarat Fortunegiants,67.0,39.0,21.0,7.0,2858.0,953.0,89.0,657.0,1248.0,41.0,25.0,1445.0,660.0,785.0,49.0,45.0,35.0,2.0,0.0
